MaintenanceID,PlantID,StartDate,EndDate,MaintenanceType,DowntimeHours,CostUSD
56,7,2021-05-11,2021-05-21,Scheduled,207.45,577331.15
57,7,2021-05-17,2021-05-19,Corrective,32.44,140022.73
58,7,2019-07-12,2019-07-14,Scheduled,29.95,140577.13
59,8,2018-09-25,2018-10-07,Scheduled,155.95,519409.63
60,8,2022-03-31,2022-04-09,Preventive,194.69,873133.35
61,8,2018-07-15,2018-07-18,Scheduled,41.75,117099.7
62,8,2023-06-13,2023-06-25,Preventive,169.73,180833.72
63,8,2018-12-12,2018-12-25,Scheduled,167.97,804047.76
64,8,2018-04-24,2018-05-08,Scheduled,287.58,504887.55
65,8,2022-08-18,2022-08-27,Scheduled,139.04,477363.87
66,9,2024-10-13,2024-10-16,Corrective,56.18,151998.05
67,9,2023-05-26,2023-05-31,Corrective,89.42,149943.09
68,9,2021-04-02,2021-04-08,Corrective,80.23,378078.55
69,9,2021-09-14,2021-09-28,Corrective,213.58,863111.12
70,9,2022-11-18,2022-11-27,Corrective,159.37,791279.37
71,9,2022-07-05,2022-07-06,Corrective,12.83,50348.27
72,9,2024-02-04,2024-02-06,Corrective,36.0,105990.18
73,10,2022-04-27,2022-05-07,Scheduled,236.77,1025853.43
74,10,2021-01-17,2021-01-22,Preventive,98.77,320406.72
75,10,2024-07-14,2024-07-21,Preventive,162.97,276134.16
76,10,2023-07-13,2023-07-14,Preventive,15.72,52500.06
77,10,2022-03-02,2022-03-08,Scheduled,123.12,611284.71
78,10,2023-04-07,2023-04-09,Preventive,25.19,69624.34
79,10,2018-12-28,2019-01-04,Scheduled,87.58,102891.42
80,10,2024-04-15,2024-04-18,Corrective,41.08,142740.31
81,10,2024-09-24,2024-10-02,Scheduled,138.03,520914.92
82,10,2021-08-03,2021-08-07,Preventive,93.13,304672.67
83,11,2024-01-07,2024-01-11,Scheduled,52.85,154410.8
84,11,2021-10-26,2021-11-05,Scheduled,126.15,379507.95
85,11,2021-05-16,2021-05-18,Scheduled,42.28,170381.06
86,11,2021-06-23,2021-07-02,Preventive,137.77,592945.33
87,11,2019-04-18,2019-04-20,Scheduled,36.53,159421.98
88,11,2021-01-09,2021-01-16,Corrective,87.84,94160.08
89,11,2019-03-15,2019-03-28,Corrective,249.9,789570.66
90,11,2020-12-22,2020-12-30,Preventive,145.07,162081.01
91,11,2022-06-12,2022-06-16,Corrective,88.78,419144.44
92,11,2022-12-05,2022-12-08,Preventive,56.23,64466.33
93,11,2019-06-08,2019-06-11,Corrective,38.34,76398.71
94,12,2018-07-08,2018-07-14,Corrective,100.06,344884.94
95,12,2021-08-31,2021-09-10,Preventive,210.64,611732.98
96,12,2019-11-30,2019-12-14,Corrective,178.29,879727.79
97,12,2018-10-23,2018-10-31,Corrective,130.77,283978.63
98,12,2020-09-02,2020-09-08,Corrective,111.47,240115.38
99,12,2019-09-12,2019-09-20,Corrective,98.29,428288.73
100,12,2022-01-17,2022-01-21,Preventive,94.04,289967.98
101,12,2024-09-13,2024-09-16,Scheduled,55.4,241705.4
102,12,2019-11-21,2019-12-01,Preventive,229.0,983376.27
103,12,2023-08-20,2023-08-31,Preventive,228.86,302400.27
104,12,2024-03-16,2024-03-24,Corrective,181.53,759316.39
105,12,2018-08-15,2018-08-28,Corrective,195.32,784213.93
106,12,2022-05-03,2022-05-06,Scheduled,68.47,241069.97
107,12,2020-05-18,2020-05-21,Preventive,59.78,151709.14
108,12,2020-05-22,2020-05-28,Corrective,106.12,164947.94
109,13,2021-02-17,2021-02-22,Preventive,77.14,225628.62
110,13,2019-07-21,2019-07-24,Corrective,46.32,135043.26
111,13,2023-08-17,2023-08-31,Preventive,275.8,517718.8
112,13,2020-08-24,2020-08-27,Scheduled,49.64,203174.2
113,13,2020-06-07,2020-06-10,Preventive,41.4,115175.0
114,13,2022-03-18,2022-03-20,Corrective,39.61,186021.48
115,13,2021-12-20,2021-12-29,Preventive,140.96,294381.17
116,13,2018-10-21,2018-11-04,Corrective,204.79,715259.4
117,13,2023-09-09,2023-09-22,Scheduled,169.06,705228.57
118,13,2018-12-08,2018-12-20,Scheduled,226.7,1130529.78
119,14,2019-08-11,2019-08-16,Scheduled,114.61,416964.06
120,14,2021-02-20,2021-02-22,Preventive,38.39,189059.06
121,14,2021-12-30,2022-01-12,Scheduled,232.8,382674.34
122,14,2023-10-02,2023-10-14,Scheduled,176.81,198839.95
123,14,2020-06-21,2020-07-01,Corrective,212.2,736604.12
124,14,2018-05-28,2018-06-11,Preventive,305.98,1047844.81
125,14,2024-11-07,2024-11-11,Corrective,69.25,217058.13
126,15,2018-12-06,2018-12-11,Corrective,80.62,328957.91
127,15,2024-08-30,2024-09-04,Corrective,76.4,169887.86
128,15,2024-09-25,2024-10-06,Corrective,253.63,749990.62
129,15,2022-10-21,2022-10-30,Preventive,125.67,241856.82
130,15,2020-11-05,2020-11-14,Preventive,129.9,479807.52
131,15,2022-03-04,2022-03-16,Corrective,235.86,1037364.0
132,15,2020-06-15,2020-06-23,Scheduled,128.67,248004.39
133,15,2024-08-30,2024-09-03,Preventive,53.14,246260.06
134,15,2022-05-14,2022-05-20,Preventive,80.2,356093.35
135,15,2022-09-17,2022-09-22,Corrective,116.28,439394.5
136,15,2024-11-25,2024-12-02,Corrective,160.47,699176.71
137,16,2018-05-24,2018-05-30,Corrective,79.71,356323.72
138,16,2019-01-19,2019-01-25,Scheduled,118.49,427618.94
139,16,2020-07-02,2020-07-06,Preventive,59.15,152717.22
140,16,2022-03-04,2022-03-10,Preventive,80.81,189169.25
141,16,2024-03-07,2024-03-12,Preventive,105.65,128907.13
142,16,2020-09-21,2020-10-03,Corrective,155.98,714610.74
143,16,2022-12-12,2022-12-16,Scheduled,54.67,259093.31
144,16,2019-06-09,2019-06-12,Preventive,38.99,186004.82
145,17,2020-07-24,2020-08-07,Scheduled,335.73,1477226.23
146,17,2022-10-28,2022-11-10,Preventive,306.03,791773.23
147,17,2022-06-02,2022-06-13,Scheduled,223.83,799194.78
148,17,2022-09-22,2022-09-26,Preventive,84.0,89541.72
149,17,2022-08-20,2022-09-02,Corrective,240.85,760973.34
150,17,2020-07-24,2020-08-03,Scheduled,193.27,854244.99
151,17,2021-07-05,2021-07-12,Scheduled,163.53,540412.37
152,17,2024-05-20,2024-06-02,Corrective,245.57,1190096.19
153,17,2018-12-20,2018-12-21,Preventive,19.42,60239.97
154,17,2024-07-11,2024-07-22,Preventive,201.43,354547.16
155,17,2018-02-28,2018-03-14,Scheduled,209.13,990148.7
156,17,2022-02-20,2022-02-24,Preventive,77.65,198337.18
157,17,2021-04-02,2021-04-16,Scheduled,293.04,517060.43
158,17,2019-05-30,2019-05-31,Scheduled,23.11,101108.91
159,17,2018-02-23,2018-03-09,Corrective,308.6,1271899.94
160,17,2020-04-05,2020-04-08,Preventive,57.62,276821.51
161,17,2024-10-30,2024-11-01,Preventive,39.87,100035.59
162,17,2021-06-20,2021-07-01,Preventive,261.47,615975.97
163,18,2022-04-28,2022-05-03,Scheduled,106.51,456768.59
164,18,2022-08-19,2022-09-01,Corrective,250.39,397860.34
165,19,2022-08-29,2022-09-11,Corrective,300.63,1016038.54
166,19,2024-04-18,2024-04-21,Corrective,57.05,68866.49
167,19,2018-03-02,2018-03-03,Corrective,17.46,31365.79
168,19,2019-10-19,2019-10-26,Preventive,146.4,630786.81
169,19,2023-08-27,2023-09-09,Scheduled,203.74,965960.56
170,19,2020-02-17,2020-02-27,Preventive,144.15,712397.88
171,19,2023-02-26,2023-03-02,Preventive,90.29,388789.06
172,19,2022-02-04,2022-02-08,Scheduled,72.85,260907.26
173,20,2024-09-25,2024-09-29,Preventive,84.6,295476.47
174,20,2018-02-03,2018-02-08,Scheduled,76.34,229899.17
175,20,2019-08-17,2019-08-21,Scheduled,68.2,185875.2
176,20,2018-12-16,2018-12-17,Scheduled,23.63,109316.77
177,20,2019-08-31,2019-09-12,Scheduled,233.83,1120500.09
178,20,2023-12-18,2023-12-21,Preventive,40.55,161700.97
179,20,2019-01-23,2019-01-24,Preventive,23.6,95065.74
180,20,2018-01-24,2018-01-31,Preventive,155.51,528428.12
181,20,2023-10-10,2023-10-15,Scheduled,88.93,98228.61
182,20,2019-09-25,2019-10-07,Preventive,227.75,841037.94
183,21,2023-02-19,2023-03-05,Scheduled,236.1,1094317.1
184,21,2020-09-14,2020-09-16,Preventive,25.21,121511.4
185,21,2021-09-30,2021-10-04,Preventive,76.65,339749.88
186,21,2021-02-14,2021-02-17,Preventive,68.93,174711.51
187,21,2020-09-03,2020-09-06,Corrective,38.86,176997.38
188,21,2023-05-27,2023-06-09,Scheduled,183.87,682859.01
189,21,2018-02-23,2018-03-03,Corrective,173.87,310217.93
190,22,2019-06-06,2019-06-19,Corrective,297.98,741895.02
191,22,2024-07-10,2024-07-21,Corrective,251.77,1075444.07
192,22,2020-11-28,2020-12-07,Preventive,116.98,554004.64
193,22,2021-03-19,2021-03-31,Scheduled,270.28,501790.87
194,22,2022-08-28,2022-08-29,Preventive,16.78,46061.71
195,22,2023-10-01,2023-10-09,Scheduled,171.21,658430.89
196,22,2020-07-04,2020-07-16,Preventive,277.42,499467.85
197,22,2019-10-29,2019-11-01,Scheduled,47.38,117916.11
198,22,2020-12-06,2020-12-15,Preventive,151.51,514963.6
199,23,2022-12-24,2023-01-07,Preventive,185.18,342011.22
200,23,2023-10-04,2023-10-14,Scheduled,185.43,189808.11
201,23,2024-05-19,2024-05-25,Corrective,111.97,168630.93
202,23,2020-05-04,2020-05-08,Scheduled,95.33,427171.57
203,23,2021-10-11,2021-10-20,Corrective,122.72,257008.65
204,23,2019-08-04,2019-08-15,Preventive,162.06,351161.45
205,24,2019-06-22,2019-06-25,Corrective,46.88,50004.03
206,24,2020-11-24,2020-12-05,Corrective,257.8,403322.64
207,24,2018-01-23,2018-01-29,Corrective,131.22,542776.41
208,24,2022-11-29,2022-12-07,Corrective,97.21,394644.53
209,24,2019-03-19,2019-03-30,Scheduled,151.97,749822.23
210,24,2023-06-14,2023-06-19,Preventive,78.11,117077.25
211,24,2024-01-27,2024-02-01,Preventive,119.69,376562.33
212,24,2023-09-28,2023-10-08,Preventive,203.77,666007.89
213,24,2020-10-16,2020-10-28,Preventive,206.68,547216.13
214,24,2022-05-16,2022-05-23,Scheduled,84.87,408155.04
215,24,2022-05-27,2022-06-07,Scheduled,205.23,444908.07
216,25,2024-04-10,2024-04-16,Preventive,117.35,165572.33
217,25,2022-10-04,2022-10-15,Scheduled,224.53,327392.93
218,25,2021-02-22,2021-03-02,Scheduled,132.06,471266.49
219,25,2024-03-09,2024-03-15,Scheduled,114.17,286818.01
220,25,2021-05-22,2021-06-04,Corrective,243.92,1141138.51
221,25,2022-02-14,2022-02-24,Scheduled,226.98,1107247.14
222,25,2020-01-20,2020-01-29,Preventive,159.1,758011.63
223,25,2021-05-03,2021-05-10,Scheduled,165.92,350264.16
224,26,2024-02-10,2024-02-13,Corrective,61.7,259981.13
225,26,2023-04-01,2023-04-08,Preventive,108.73,461624.33
226,26,2024-04-06,2024-04-09,Preventive,37.72,66624.37
227,26,2022-05-02,2022-05-11,Preventive,147.1,676702.82
228,26,2019-10-15,2019-10-27,Scheduled,241.06,315626.84
229,26,2023-06-10,2023-06-13,Scheduled,45.5,205149.1
230,26,2018-07-09,2018-07-14,Corrective,104.87,200216.2
231,26,2021-07-06,2021-07-09,Preventive,59.59,211243.32
232,27,2021-10-14,2021-10-27,Corrective,176.98,739961.38
233,27,2023-02-05,2023-02-15,Scheduled,143.15,168159.53
234,27,2018-07-14,2018-07-17,Scheduled,62.89,111268.69
235,27,2021-01-04,2021-01-08,Preventive,50.34,209584.24
236,27,2023-03-15,2023-03-25,Preventive,206.67,733051.52
237,27,2019-06-18,2019-06-20,Corrective,45.16,77763.78
238,27,2023-08-21,2023-08-30,Corrective,114.73,376324.78
239,27,2021-10-19,2021-10-25,Corrective,72.71,305835.26
240,27,2019-10-23,2019-10-31,Preventive,149.49,179862.34
241,27,2020-03-29,2020-03-31,Scheduled,36.83,78801.87
242,27,2024-02-04,2024-02-05,Corrective,16.67,76178.19
243,27,2022-04-12,2022-04-17,Scheduled,118.05,184245.9
244,27,2024-11-11,2024-11-24,Scheduled,306.27,1121238.65
245,27,2022-09-24,2022-09-30,Preventive,100.73,135132.46
246,28,2022-07-02,2022-07-08,Corrective,137.82,601582.51
247,28,2023-05-31,2023-06-01,Corrective,13.97,50306.04
248,28,2021-05-27,2021-05-29,Corrective,27.47,88444.67
249,28,2022-12-02,2022-12-15,Scheduled,232.88,288271.39
250,28,2018-04-21,2018-04-22,Scheduled,18.36,38268.75
251,28,2021-11-17,2021-11-18,Corrective,19.65,35774.33
252,28,2021-10-26,2021-11-06,Corrective,184.6,678063.55
253,28,2023-10-11,2023-10-25,Scheduled,187.68,333435.57
254,29,2021-08-19,2021-09-02,Corrective,326.9,1565480.92
255,29,2020-05-27,2020-06-03,Preventive,164.96,266953.13
256,29,2020-04-26,2020-05-04,Corrective,101.39,360119.14
257,29,2018-06-09,2018-06-20,Corrective,136.23,270545.65
258,29,2020-08-30,2020-09-06,Corrective,153.49,180105.89
259,29,2019-01-06,2019-01-13,Scheduled,137.99,378313.61
260,30,2023-01-13,2023-01-25,Scheduled,146.03,669703.43
261,30,2022-11-03,2022-11-04,Preventive,16.04,54005.37
262,30,2020-08-26,2020-09-07,Preventive,228.08,482217.7
263,30,2020-02-10,2020-02-15,Corrective,96.79,332054.52
264,30,2022-05-12,2022-05-14,Corrective,38.82,67816.26
265,30,2024-04-10,2024-04-18,Scheduled,163.08,738172.61
266,30,2022-09-03,2022-09-14,Preventive,150.4,345570.67
267,30,2021-09-26,2021-10-04,Corrective,180.59,258100.49
268,30,2020-12-04,2020-12-16,Corrective,287.6,1388929.11
