ConsumptionID,Region,RecordDate,Sector,EnergyConsumedMWh,PeakLoadMW
135,North,2018-02-03,Commercial,3578.702,294.18
136,North,2018-02-03,Agricultural,1100.523,91.95
137,North,2018-02-04,Residential,5504.947,400.25
138,North,2018-02-04,Industrial,449.516,36.69
139,North,2018-02-04,Commercial,544.887,42.67
140,North,2018-02-04,Agricultural,797.723,80.27
141,North,2018-02-05,Residential,4285.572,261.69
142,North,2018-02-05,Industrial,1235.801,109.73
143,North,2018-02-05,Commercial,1153.668,72.6
144,North,2018-02-05,Agricultural,667.719,47.7
145,North,2018-02-06,Residential,3580.7,309.31
146,North,2018-02-06,Industrial,1384.727,91.74
147,North,2018-02-06,Commercial,846.956,56.85
148,North,2018-02-06,Agricultural,722.243,65.53
149,North,2018-02-07,Residential,3427.715,184.85
150,North,2018-02-07,Industrial,216.477,16.2
151,North,2018-02-07,Commercial,2892.829,301.09
152,North,2018-02-07,Agricultural,8.874,0.92
153,North,2018-02-08,Residential,3849.152,207.73
154,North,2018-02-08,Industrial,1893.794,116.56
155,North,2018-02-08,Commercial,1675.421,107.84
156,North,2018-02-08,Agricultural,522.919,52.58
157,North,2018-02-09,Residential,1560.391,152.47
158,North,2018-02-09,Industrial,1330.389,129.88
159,North,2018-02-09,Commercial,1833.654,128.39
160,North,2018-02-09,Agricultural,3247.657,190.13
161,North,2018-02-10,Residential,2455.937,233.71
162,North,2018-02-10,Industrial,2135.437,188.15
163,North,2018-02-10,Commercial,1564.068,130.02
164,North,2018-02-10,Agricultural,1802.389,186.5
165,North,2018-02-11,Residential,5815.327,496.77
166,North,2018-02-11,Industrial,488.832,24.65
167,North,2018-02-11,Commercial,1197.575,112.88
168,North,2018-02-11,Agricultural,191.231,12.66
169,North,2018-02-12,Residential,3353.533,288.18
170,North,2018-02-12,Industrial,2269.487,228.9
171,North,2018-02-12,Commercial,1897.573,108.68
172,North,2018-02-12,Agricultural,9.847,0.55
173,North,2018-02-13,Residential,3460.418,193.08
174,North,2018-02-13,Industrial,565.5,45.22
175,North,2018-02-13,Commercial,2144.151,138.84
176,North,2018-02-13,Agricultural,883.692,73.14
177,North,2018-02-14,Residential,2969.449,263.9
178,North,2018-02-14,Industrial,1470.554,89.75
179,North,2018-02-14,Commercial,1925.727,162.44
180,North,2018-02-14,Agricultural,1105.017,71.05
181,North,2018-02-15,Residential,1821.028,139.24
182,North,2018-02-15,Industrial,372.235,36.87
183,North,2018-02-15,Commercial,2754.234,263.94
184,North,2018-02-15,Agricultural,3113.437,171.24
185,North,2018-02-16,Residential,3196.781,233.18
186,North,2018-02-16,Industrial,149.936,9.74
187,North,2018-02-16,Commercial,3313.587,166.32
188,North,2018-02-16,Agricultural,811.097,74.43
189,North,2018-02-17,Residential,3949.218,333.75
190,North,2018-02-17,Industrial,2931.67,188.18
191,North,2018-02-17,Commercial,936.9,84.46
192,North,2018-02-17,Agricultural,812.37,64.89
193,North,2018-02-18,Residential,3662.602,267.98
194,North,2018-02-18,Industrial,928.351,46.9
195,North,2018-02-18,Commercial,1316.807,71.21
196,North,2018-02-18,Agricultural,1122.835,109.85
197,North,2018-02-19,Residential,3479.25,344.32
198,North,2018-02-19,Industrial,1266.269,100.74
199,North,2018-02-19,Commercial,1352.809,128.8
200,North,2018-02-19,Agricultural,1246.914,101.69
201,North,2018-02-20,Residential,2665.755,154.67
202,North,2018-02-20,Industrial,833.642,47.44
203,North,2018-02-20,Commercial,4327.924,288.66
204,North,2018-02-20,Agricultural,672.191,66.34
205,North,2018-02-21,Residential,1460.355,135.99
206,North,2018-02-21,Industrial,2928.881,282.99
207,North,2018-02-21,Commercial,1399.365,138.11
208,North,2018-02-21,Agricultural,1729.926,106.18
209,North,2018-02-22,Residential,3081.884,195.75
210,North,2018-02-22,Industrial,2366.659,131.51
211,North,2018-02-22,Commercial,686.145,63.3
212,North,2018-02-22,Agricultural,2075.655,203.19
213,North,2018-02-23,Residential,1788.531,128.8
214,North,2018-02-23,Industrial,2666.908,223.0
215,North,2018-02-23,Commercial,1581.849,92.34
216,North,2018-02-23,Agricultural,1018.257,102.2
217,North,2018-02-24,Residential,1998.452,193.52
218,North,2018-02-24,Industrial,4195.415,431.62
219,North,2018-02-24,Commercial,1631.577,153.23
220,North,2018-02-24,Agricultural,103.602,10.13
221,North,2018-02-25,Residential,2974.867,152.74
222,North,2018-02-25,Industrial,1932.876,173.76
223,North,2018-02-25,Commercial,1028.469,69.93
224,North,2018-02-25,Agricultural,2002.037,201.04
225,North,2018-02-26,Residential,2278.961,212.98
226,North,2018-02-26,Industrial,3170.665,306.93
227,North,2018-02-26,Commercial,1317.976,123.78
228,North,2018-02-26,Agricultural,1231.366,79.36
229,North,2018-02-27,Residential,3527.336,326.81
230,North,2018-02-27,Industrial,1587.177,88.65
231,North,2018-02-27,Commercial,1752.582,170.43
232,North,2018-02-27,Agricultural,911.285,87.95
233,North,2018-02-28,Residential,2140.722,132.83
234,North,2018-02-28,Industrial,2550.199,240.31
235,North,2018-02-28,Commercial,2042.363,153.04
236,North,2018-02-28,Agricultural,748.086,49.77
237,North,2018-03-01,Residential,2955.567,275.11
238,North,2018-03-01,Industrial,754.223,47.01
239,North,2018-03-01,Commercial,3887.762,199.37
240,North,2018-03-01,Agricultural,239.006,14.45
241,North,2018-03-02,Residential,3033.951,205.64
242,North,2018-03-02,Industrial,4082.932,395.31
243,North,2018-03-02,Commercial,935.957,95.82
244,North,2018-03-02,Agricultural,466.431,30.37
245,North,2018-03-03,Residential,2523.893,213.89
246,North,2018-03-03,Industrial,4036.983,289.25
247,North,2018-03-03,Commercial,1654.433,170.65
248,North,2018-03-03,Agricultural,35.031,2.77
249,North,2018-03-04,Residential,5058.08,510.24
250,North,2018-03-04,Industrial,675.925,38.02
251,North,2018-03-04,Commercial,1665.35,170.8
252,North,2018-03-04,Agricultural,412.202,24.6
253,North,2018-03-05,Residential,1634.866,166.98
254,North,2018-03-05,Industrial,3417.895,220.04
255,North,2018-03-05,Commercial,3246.494,181.39
256,North,2018-03-05,Agricultural,204.141,15.01
257,North,2018-03-06,Residential,3159.075,282.62
258,North,2018-03-06,Industrial,802.481,53.76
259,North,2018-03-06,Commercial,1647.703,136.49
260,North,2018-03-06,Agricultural,2689.436,208.97
261,North,2018-03-07,Residential,4268.604,302.49
262,North,2018-03-07,Industrial,2556.093,207.64
263,North,2018-03-07,Commercial,1110.909,70.87
264,North,2018-03-07,Agricultural,429.595,37.97
265,North,2018-03-08,Residential,2060.397,103.21
266,North,2018-03-08,Industrial,3751.577,375.67
267,North,2018-03-08,Commercial,1626.376,128.75
268,North,2018-03-08,Agricultural,137.571,12.24
269,North,2018-03-09,Residential,1269.455,114.49
270,North,2018-03-09,Industrial,1579.395,136.34
271,North,2018-03-09,Commercial,2857.784,199.27
272,North,2018-03-09,Agricultural,2082.127,112.0
273,North,2018-03-10,Residential,2706.25,232.68
274,North,2018-03-10,Industrial,1720.058,116.77
275,North,2018-03-10,Commercial,2719.553,182.22
276,North,2018-03-10,Agricultural,834.702,80.08
277,North,2018-03-11,Residential,1825.473,162.44
278,North,2018-03-11,Industrial,72.911,4.83
279,North,2018-03-11,Commercial,1884.464,125.79
280,North,2018-03-11,Agricultural,4250.836,306.58
281,North,2018-03-12,Residential,3833.666,275.24
282,North,2018-03-12,Industrial,2964.2,195.68
283,North,2018-03-12,Commercial,865.724,49.26
284,North,2018-03-12,Agricultural,364.655,26.54
285,North,2018-03-13,Residential,2243.964,226.5
286,North,2018-03-13,Industrial,2266.063,196.44
287,North,2018-03-13,Commercial,3344.757,330.8
288,North,2018-03-13,Agricultural,714.946,59.58
289,North,2018-03-14,Residential,3735.035,247.64
290,North,2018-03-14,Industrial,1439.131,114.67
291,North,2018-03-14,Commercial,2054.467,102.77
292,North,2018-03-14,Agricultural,985.179,64.57
293,North,2018-03-15,Residential,2521.561,184.79
294,North,2018-03-15,Industrial,1631.692,132.85
295,North,2018-03-15,Commercial,3099.943,264.93
296,North,2018-03-15,Agricultural,530.55,39.89
297,North,2018-03-16,Residential,3120.534,230.76
298,North,2018-03-16,Industrial,1424.518,87.72
299,North,2018-03-16,Commercial,2888.433,218.45
300,North,2018-03-16,Agricultural,116.577,11.52
301,North,2018-03-17,Residential,2980.494,277.54
302,North,2018-03-17,Industrial,1598.264,94.6
303,North,2018-03-17,Commercial,614.001,33.52
304,North,2018-03-17,Agricultural,2922.64,227.73
305,North,2018-03-18,Residential,3431.494,289.22
306,North,2018-03-18,Industrial,1931.316,131.63
307,North,2018-03-18,Commercial,1033.064,97.45
308,North,2018-03-18,Agricultural,1445.122,131.05
309,North,2018-03-19,Residential,5081.934,439.3
310,North,2018-03-19,Industrial,2126.178,132.18
311,North,2018-03-19,Commercial,161.64,9.83
312,North,2018-03-19,Agricultural,593.366,30.45
313,North,2018-03-20,Residential,1660.117,105.02
314,North,2018-03-20,Industrial,852.365,64.56
315,North,2018-03-20,Commercial,1286.314,123.52
316,North,2018-03-20,Agricultural,3649.122,196.85
317,North,2018-03-21,Residential,1905.708,138.07
318,North,2018-03-21,Industrial,4525.764,380.67
319,North,2018-03-21,Commercial,2525.594,152.88
320,North,2018-03-21,Agricultural,330.518,28.99
321,North,2018-03-22,Residential,4865.219,373.55
322,North,2018-03-22,Industrial,3721.105,235.23
323,North,2018-03-22,Commercial,749.046,64.07
324,North,2018-03-22,Agricultural,122.883,6.18
325,North,2018-03-23,Residential,2036.685,184.68
326,North,2018-03-23,Industrial,3897.494,357.44
327,North,2018-03-23,Commercial,2439.627,136.07
328,North,2018-03-23,Agricultural,194.431,14.2
329,North,2018-03-24,Residential,2797.403,166.52
330,North,2018-03-24,Industrial,2370.862,241.57
331,North,2018-03-24,Commercial,2395.259,186.96
332,North,2018-03-24,Agricultural,607.616,32.03
333,North,2018-03-25,Residential,3345.973,212.46
334,North,2018-03-25,Industrial,3147.058,301.97
335,North,2018-03-25,Commercial,525.822,39.29
336,North,2018-03-25,Agricultural,1574.707,147.09
337,North,2018-03-26,Residential,1102.22,94.97
338,North,2018-03-26,Industrial,2571.14,266.14
339,North,2018-03-26,Commercial,3557.311,292.6
340,North,2018-03-26,Agricultural,856.463,86.9
341,North,2018-03-27,Residential,1820.009,178.88
342,North,2018-03-27,Industrial,2858.763,237.81
343,North,2018-03-27,Commercial,3834.57,341.13
344,North,2018-03-27,Agricultural,675.394,52.24
345,North,2018-03-28,Residential,2257.199,214.41
346,North,2018-03-28,Industrial,1371.022,109.24
347,North,2018-03-28,Commercial,3950.808,389.54
348,North,2018-03-28,Agricultural,677.311,61.15
349,North,2018-03-29,Residential,1586.006,120.08
350,North,2018-03-29,Industrial,3410.122,218.38
351,North,2018-03-29,Commercial,1514.746,96.02
352,North,2018-03-29,Agricultural,2997.796,253.43
353,North,2018-03-30,Residential,2181.129,199.53
354,North,2018-03-30,Industrial,1289.387,100.88
355,North,2018-03-30,Commercial,4199.564,352.55
356,North,2018-03-30,Agricultural,103.987,6.75
357,North,2018-03-31,Residential,3664.359,198.6
358,North,2018-03-31,Industrial,2256.967,147.78
359,North,2018-03-31,Commercial,1544.926,99.98
360,North,2018-03-31,Agricultural,502.772,33.85
361,North,2018-04-01,Residential,3351.293,265.62
362,North,2018-04-01,Industrial,4210.065,242.06
363,North,2018-04-01,Commercial,791.467,49.49
364,North,2018-04-01,Agricultural,240.25,21.04
365,North,2018-04-02,Residential,5499.559,485.42
366,North,2018-04-02,Industrial,943.627,50.46
367,North,2018-04-02,Commercial,1847.673,133.18
368,North,2018-04-02,Agricultural,2.08,0.17
369,North,2018-04-03,Residential,5212.248,378.0
370,North,2018-04-03,Industrial,2379.358,145.63
371,North,2018-04-03,Commercial,1169.962,85.12
372,North,2018-04-03,Agricultural,696.746,68.99
373,North,2018-04-04,Residential,3240.884,264.58
374,North,2018-04-04,Industrial,3591.362,314.87
375,North,2018-04-04,Commercial,1994.784,192.31
376,North,2018-04-04,Agricultural,76.365,6.99
377,North,2018-04-05,Residential,3774.654,266.51
378,North,2018-04-05,Industrial,3399.582,171.06
379,North,2018-04-05,Commercial,664.807,45.91
380,North,2018-04-05,Agricultural,737.379,66.96
381,North,2018-04-06,Residential,2077.807,199.94
382,North,2018-04-06,Industrial,1194.959,121.46
383,North,2018-04-06,Commercial,1200.272,87.26
384,North,2018-04-06,Agricultural,3654.901,330.73
385,North,2018-04-07,Residential,3067.382,244.11
386,North,2018-04-07,Industrial,682.529,56.43
387,North,2018-04-07,Commercial,3201.984,198.35
388,North,2018-04-07,Agricultural,1744.674,107.97
389,North,2018-04-08,Residential,1343.304,98.88
390,North,2018-04-08,Industrial,4700.372,242.41
391,North,2018-04-08,Commercial,1526.669,104.13
392,North,2018-04-08,Agricultural,1204.856,104.57
393,North,2018-04-09,Residential,2053.453,147.64
394,North,2018-04-09,Industrial,2106.079,124.13
395,North,2018-04-09,Commercial,3809.034,286.88
396,North,2018-04-09,Agricultural,301.484,17.16
397,North,2018-04-10,Residential,2153.377,180.25
398,North,2018-04-10,Industrial,3265.211,168.03
399,North,2018-04-10,Commercial,2251.972,160.66
400,North,2018-04-10,Agricultural,979.333,78.91
401,North,2018-04-11,Residential,3903.882,200.93
402,North,2018-04-11,Industrial,2109.908,178.95
403,North,2018-04-11,Commercial,462.327,26.51
404,North,2018-04-11,Agricultural,1179.457,88.47
405,North,2018-04-12,Residential,2286.905,120.57
406,North,2018-04-12,Industrial,2939.398,207.33
407,North,2018-04-12,Commercial,2049.978,126.0
408,North,2018-04-12,Agricultural,1015.62,68.76
409,North,2018-04-13,Residential,2578.953,235.29
410,North,2018-04-13,Industrial,1913.435,134.97
411,North,2018-04-13,Commercial,2397.586,217.54
412,North,2018-04-13,Agricultural,1307.579,124.3
413,North,2018-04-14,Residential,4807.941,306.1
414,North,2018-04-14,Industrial,1095.743,59.65
415,North,2018-04-14,Commercial,708.755,36.18
416,North,2018-04-14,Agricultural,1798.562,142.48
417,North,2018-04-15,Residential,4195.115,436.97
418,North,2018-04-15,Industrial,1933.099,133.3
419,North,2018-04-15,Commercial,1630.321,138.93
420,North,2018-04-15,Agricultural,474.736,43.83
421,North,2018-04-16,Residential,3409.269,290.82
422,North,2018-04-16,Industrial,1077.782,97.92
423,North,2018-04-16,Commercial,3131.749,317.68
424,North,2018-04-16,Agricultural,621.231,37.77
425,North,2018-04-17,Residential,933.165,47.69
426,North,2018-04-17,Industrial,1286.851,74.96
427,North,2018-04-17,Commercial,2471.3,140.46
428,North,2018-04-17,Agricultural,3140.303,270.89
429,North,2018-04-18,Residential,2999.997,241.64
430,North,2018-04-18,Industrial,2176.223,134.5
431,North,2018-04-18,Commercial,1994.103,175.26
432,North,2018-04-18,Agricultural,1557.982,142.62
433,North,2018-04-19,Residential,3568.36,210.85
434,North,2018-04-19,Industrial,921.747,76.41
435,North,2018-04-19,Commercial,1945.232,176.07
436,North,2018-04-19,Agricultural,1721.183,96.74
437,North,2018-04-20,Residential,3596.132,339.4
438,North,2018-04-20,Industrial,3443.827,352.15
439,North,2018-04-20,Commercial,1318.128,73.62
440,North,2018-04-20,Agricultural,249.959,12.85
441,North,2018-04-21,Residential,3449.895,230.79
442,North,2018-04-21,Industrial,934.989,81.05
443,North,2018-04-21,Commercial,2101.91,214.19
444,North,2018-04-21,Agricultural,1112.82,79.55
445,North,2018-04-22,Residential,2039.302,180.95
446,North,2018-04-22,Industrial,3567.21,193.04
447,North,2018-04-22,Commercial,801.109,70.02
448,North,2018-04-22,Agricultural,1196.619,100.49
449,North,2018-04-23,Residential,1691.535,93.91
450,North,2018-04-23,Industrial,2135.025,196.09
451,North,2018-04-23,Commercial,3212.353,308.57
452,North,2018-04-23,Agricultural,1708.828,141.02
453,North,2018-04-24,Residential,2180.062,123.3
454,North,2018-04-24,Industrial,603.789,62.37
455,North,2018-04-24,Commercial,3561.142,329.02
456,North,2018-04-24,Agricultural,1285.194,88.43
457,North,2018-04-25,Residential,4006.983,293.33
458,North,2018-04-25,Industrial,2230.844,156.32
459,North,2018-04-25,Commercial,2501.778,193.65
460,North,2018-04-25,Agricultural,232.485,15.92
461,North,2018-04-26,Residential,2824.328,271.19
462,North,2018-04-26,Industrial,2617.077,247.43
463,North,2018-04-26,Commercial,3467.989,193.22
464,North,2018-04-26,Agricultural,473.776,48.35
465,North,2018-04-27,Residential,1254.385,105.9
466,North,2018-04-27,Industrial,3109.545,295.06
467,North,2018-04-27,Commercial,1080.066,95.38
468,North,2018-04-27,Agricultural,1650.733,121.48
469,North,2018-04-28,Residential,1260.008,113.08
470,North,2018-04-28,Industrial,2171.845,222.17
471,North,2018-04-28,Commercial,2844.995,183.87
472,North,2018-04-28,Agricultural,886.666,83.15
473,North,2018-04-29,Residential,2377.49,188.18
474,North,2018-04-29,Industrial,1762.879,134.31
475,North,2018-04-29,Commercial,3143.174,231.32
476,North,2018-04-29,Agricultural,794.453,71.18
477,North,2018-04-30,Residential,1276.05,82.35
478,North,2018-04-30,Industrial,2969.762,285.5
479,North,2018-04-30,Commercial,1983.609,188.44
480,North,2018-04-30,Agricultural,2762.229,151.08
481,North,2018-05-01,Residential,3248.048,317.51
482,North,2018-05-01,Industrial,1999.795,126.41
483,North,2018-05-01,Commercial,1361.991,102.38
484,North,2018-05-01,Agricultural,164.704,13.68
485,North,2018-05-02,Residential,5639.785,397.77
486,North,2018-05-02,Industrial,1148.767,59.22
487,North,2018-05-02,Commercial,515.581,49.54
488,North,2018-05-02,Agricultural,1018.291,60.94
489,North,2018-05-03,Residential,3040.614,186.97
490,North,2018-05-03,Industrial,4079.422,380.27
491,North,2018-05-03,Commercial,690.718,47.27
492,North,2018-05-03,Agricultural,56.342,5.5
493,North,2018-05-04,Residential,6158.766,541.85
494,North,2018-05-04,Industrial,463.0,30.08
495,North,2018-05-04,Commercial,1050.919,53.12
496,North,2018-05-04,Agricultural,335.416,34.0
497,North,2018-05-05,Residential,3046.926,166.48
498,North,2018-05-05,Industrial,1771.614,157.68
499,North,2018-05-05,Commercial,1870.614,143.04
500,North,2018-05-05,Agricultural,1605.632,146.22
501,North,2018-05-06,Residential,3208.01,280.41
502,North,2018-05-06,Industrial,2138.848,181.77
503,North,2018-05-06,Commercial,1848.493,141.57
504,North,2018-05-06,Agricultural,188.83,17.55
505,North,2018-05-07,Residential,3290.97,181.14
506,North,2018-05-07,Industrial,2194.512,136.07
507,North,2018-05-07,Commercial,1623.574,142.02
508,North,2018-05-07,Agricultural,213.979,14.25
509,North,2018-05-08,Residential,1762.166,143.62
510,North,2018-05-08,Industrial,1472.274,111.36
511,North,2018-05-08,Commercial,3413.35,268.83
512,North,2018-05-08,Agricultural,951.094,69.48
513,North,2018-05-09,Residential,3274.973,296.07
514,North,2018-05-09,Industrial,930.798,63.22
515,North,2018-05-09,Commercial,1610.768,141.86
516,North,2018-05-09,Agricultural,1436.085,92.88
517,North,2018-05-10,Residential,3671.662,233.58
518,North,2018-05-10,Industrial,3220.035,182.05
519,North,2018-05-10,Commercial,979.14,59.17
520,North,2018-05-10,Agricultural,481.836,27.21
521,North,2018-05-11,Residential,1764.591,139.45
522,North,2018-05-11,Industrial,3114.265,284.29
523,North,2018-05-11,Commercial,515.983,30.97
524,North,2018-05-11,Agricultural,2075.437,128.1
525,North,2018-05-12,Residential,3650.089,278.24
526,North,2018-05-12,Industrial,702.743,62.72
527,North,2018-05-12,Commercial,2929.003,301.39
528,North,2018-05-12,Agricultural,998.522,78.3
529,North,2018-05-13,Residential,3276.316,214.04
530,North,2018-05-13,Industrial,527.172,29.23
531,North,2018-05-13,Commercial,792.183,47.94
532,North,2018-05-13,Agricultural,1776.838,110.74
533,North,2018-05-14,Residential,5740.512,342.82
534,North,2018-05-14,Industrial,498.086,25.29
535,North,2018-05-14,Commercial,422.598,33.36
536,North,2018-05-14,Agricultural,937.382,60.8
537,North,2018-05-15,Residential,1599.552,164.39
538,North,2018-05-15,Industrial,2141.825,171.29
539,North,2018-05-15,Commercial,2296.09,201.54
540,North,2018-05-15,Agricultural,1232.947,70.08
541,North,2018-05-16,Residential,3011.1,292.2
542,North,2018-05-16,Industrial,3764.25,288.3
543,North,2018-05-16,Commercial,702.745,68.36
544,North,2018-05-16,Agricultural,581.148,47.13
545,North,2018-05-17,Residential,3983.495,300.46
546,North,2018-05-17,Industrial,1187.618,87.72
547,North,2018-05-17,Commercial,2570.498,154.19
548,North,2018-05-17,Agricultural,437.938,23.12
549,North,2018-05-18,Residential,4354.677,439.71
550,North,2018-05-18,Industrial,1973.61,149.75
551,North,2018-05-18,Commercial,807.61,76.34
552,North,2018-05-18,Agricultural,26.759,1.92
553,North,2018-05-19,Residential,3788.428,204.62
554,North,2018-05-19,Industrial,510.749,42.95
555,North,2018-05-19,Commercial,3142.57,166.25
556,North,2018-05-19,Agricultural,932.611,54.17
557,North,2018-05-20,Residential,4624.91,372.25
558,North,2018-05-20,Industrial,2318.992,154.12
559,North,2018-05-20,Commercial,683.973,71.02
560,North,2018-05-20,Agricultural,644.947,36.39
561,North,2018-05-21,Residential,1272.785,116.34
562,North,2018-05-21,Industrial,1404.948,116.39
563,North,2018-05-21,Commercial,4084.623,379.18
