SnapshotID,Region,SnapshotDate,AvgTemperature,SolarRadiation,WindSpeed,RainfallMM
304,North,2018-10-31,12.11,197.66,6.18,0.16
305,North,2018-11-01,10.91,353.44,8.16,0.29
306,North,2018-11-02,9.23,214.25,6.72,0.19
307,North,2018-11-03,11.27,278.45,5.06,0.05
308,North,2018-11-04,9.86,261.95,9.76,0.0
309,North,2018-11-05,13.26,83.11,7.62,0.28
310,North,2018-11-06,11.11,317.99,5.06,0.84
311,North,2018-11-07,9.86,276.82,6.53,0.33
312,North,2018-11-08,10.97,303.38,7.39,0.12
313,North,2018-11-09,12.55,580.01,9.81,0.47
314,North,2018-11-10,10.7,102.45,5.62,0.11
315,North,2018-11-11,10.3,410.48,8.77,0.74
316,North,2018-11-12,12.54,252.91,9.43,0.13
317,North,2018-11-13,12.66,302.36,6.41,0.12
318,North,2018-11-14,11.27,279.27,6.96,0.3
319,North,2018-11-15,11.47,252.56,5.85,0.15
320,North,2018-11-16,12.99,244.58,7.12,0.38
321,North,2018-11-17,9.76,320.24,7.4,0.06
322,North,2018-11-18,9.96,176.29,8.47,0.01
323,North,2018-11-19,11.47,361.56,9.13,0.18
324,North,2018-11-20,12.61,272.12,6.4,0.05
325,North,2018-11-21,13.79,218.96,4.59,0.03
326,North,2018-11-22,16.25,277.38,7.53,0.21
327,North,2018-11-23,15.15,418.03,8.03,0.23
328,North,2018-11-24,13.26,278.76,7.98,0.28
329,North,2018-11-25,13.68,354.44,7.14,0.14
330,North,2018-11-26,11.85,271.51,7.83,0.45
331,North,2018-11-27,13.96,394.9,9.94,0.55
332,North,2018-11-28,13.57,393.44,8.26,0.33
333,North,2018-11-29,14.94,490.86,7.14,0.2
334,North,2018-11-30,12.78,333.35,6.97,0.07
335,North,2018-12-01,15.62,405.36,7.48,4.07
336,North,2018-12-02,17.8,364.23,10.21,0.32
337,North,2018-12-03,14.67,464.6,7.5,0.05
338,North,2018-12-04,15.85,308.02,7.76,0.12
339,North,2018-12-05,16.58,429.77,7.08,0.01
340,North,2018-12-06,14.55,359.27,9.47,0.77
341,North,2018-12-07,15.96,374.42,10.77,0.18
342,North,2018-12-08,15.69,391.64,8.52,0.16
343,North,2018-12-09,16.02,409.26,7.98,0.21
344,North,2018-12-10,14.44,384.6,7.93,0.14
345,North,2018-12-11,16.2,415.92,4.31,0.01
346,North,2018-12-12,17.31,529.87,9.01,0.19
347,North,2018-12-13,19.38,487.36,8.11,0.25
348,North,2018-12-14,18.56,482.99,8.56,0.11
349,North,2018-12-15,21.11,381.97,6.86,0.28
350,North,2018-12-16,15.44,352.25,7.36,0.05
351,North,2018-12-17,18.88,504.82,7.33,0.05
352,North,2018-12-18,17.67,503.51,9.48,0.04
353,North,2018-12-19,21.85,556.28,7.39,0.09
354,North,2018-12-20,16.03,395.21,11.09,0.38
355,North,2018-12-21,16.13,430.25,8.62,0.35
356,North,2018-12-22,16.78,322.55,6.06,0.1
357,North,2018-12-23,13.9,427.42,7.79,0.18
358,North,2018-12-24,17.27,543.66,7.01,0.26
359,North,2018-12-25,16.97,431.75,4.7,0.06
360,North,2018-12-26,18.97,525.45,10.39,0.04
361,North,2018-12-27,19.52,464.12,9.05,3.58
362,North,2018-12-28,22.76,510.44,8.8,0.19
363,North,2018-12-29,21.08,397.86,8.25,0.8
364,North,2018-12-30,18.2,501.65,5.93,0.08
365,North,2018-12-31,17.73,260.71,7.27,0.24
366,North,2019-01-01,20.68,490.21,9.26,0.05
367,North,2019-01-02,17.23,379.89,6.42,0.06
368,North,2019-01-03,23.7,611.97,4.2,0.14
369,North,2019-01-04,22.57,582.83,7.65,0.08
370,North,2019-01-05,19.45,563.12,7.78,0.04
371,North,2019-01-06,17.13,652.61,8.19,0.06
372,North,2019-01-07,23.43,460.15,9.08,0.01
373,North,2019-01-08,20.67,680.97,8.94,0.24
374,North,2019-01-09,23.54,620.87,8.36,0.68
375,North,2019-01-10,18.05,532.46,9.76,0.1
376,North,2019-01-11,20.21,647.32,5.69,0.04
377,North,2019-01-12,21.59,473.03,8.71,0.11
378,North,2019-01-13,21.84,500.62,8.89,0.19
379,North,2019-01-14,21.01,522.91,6.08,0.02
380,North,2019-01-15,23.32,534.29,5.68,0.28
381,North,2019-01-16,20.11,497.06,6.81,0.0
382,North,2019-01-17,22.12,684.39,6.92,0.06
383,North,2019-01-18,22.81,570.77,9.03,0.44
384,North,2019-01-19,23.77,624.58,6.97,0.25
385,North,2019-01-20,24.32,555.63,6.6,0.02
386,North,2019-01-21,20.81,460.45,6.95,0.34
387,North,2019-01-22,20.15,632.52,9.54,0.14
388,North,2019-01-23,25.94,462.72,7.86,0.38
389,North,2019-01-24,24.2,614.96,7.56,0.18
390,North,2019-01-25,22.2,515.69,7.65,0.23
391,North,2019-01-26,26.95,788.81,9.74,1.01
392,North,2019-01-27,24.24,707.38,6.66,0.05
393,North,2019-01-28,26.52,647.53,9.75,0.2
394,North,2019-01-29,24.45,744.72,8.07,0.12
395,North,2019-01-30,28.58,580.43,7.5,0.01
396,North,2019-01-31,28.12,696.08,11.47,0.0
397,North,2019-02-01,24.26,673.01,6.12,0.03
398,North,2019-02-02,26.85,682.52,7.16,0.21
399,North,2019-02-03,26.34,767.52,5.82,0.17
400,North,2019-02-04,27.93,728.61,9.08,0.16
401,North,2019-02-05,23.4,697.34,10.16,0.01
402,North,2019-02-06,26.84,546.03,10.11,0.13
403,North,2019-02-07,27.73,605.74,9.42,0.52
404,North,2019-02-08,22.23,676.8,7.27,0.1
405,North,2019-02-09,23.51,698.1,7.0,0.2
406,North,2019-02-10,21.93,604.17,5.02,0.3
407,North,2019-02-11,25.6,891.42,10.55,0.31
408,North,2019-02-12,27.7,823.64,8.18,0.15
409,North,2019-02-13,29.4,754.29,6.72,0.39
410,North,2019-02-14,26.67,715.6,9.42,0.1
411,North,2019-02-15,29.9,696.52,5.95,0.44
412,North,2019-02-16,24.0,640.94,7.99,0.05
413,North,2019-02-17,23.47,726.82,7.1,0.07
414,North,2019-02-18,26.88,744.71,8.29,0.01
415,North,2019-02-19,27.88,628.15,7.21,0.32
416,North,2019-02-20,27.15,757.56,5.1,0.11
417,North,2019-02-21,23.19,721.67,7.36,0.05
418,North,2019-02-22,27.26,584.66,8.8,0.05
419,North,2019-02-23,24.93,671.58,7.15,0.46
420,North,2019-02-24,28.98,710.37,8.33,1.8
421,North,2019-02-25,28.47,897.46,5.57,0.16
422,North,2019-02-26,25.96,793.88,7.07,0.19
423,North,2019-02-27,26.9,645.35,6.15,0.64
424,North,2019-02-28,25.9,793.83,8.17,0.1
425,North,2019-03-01,27.99,633.84,7.07,2.47
426,North,2019-03-02,30.11,846.85,8.03,0.03
427,North,2019-03-03,26.31,725.08,8.6,0.11
428,North,2019-03-04,29.37,757.73,7.97,0.08
429,North,2019-03-05,27.38,873.66,7.31,0.14
430,North,2019-03-06,26.93,666.92,5.38,0.12
431,North,2019-03-07,28.38,660.33,6.84,0.15
432,North,2019-03-08,26.59,727.55,6.01,0.03
433,North,2019-03-09,27.63,859.36,6.26,0.14
434,North,2019-03-10,26.4,656.71,6.19,0.06
435,North,2019-03-11,32.79,553.58,5.25,0.04
436,North,2019-03-12,28.99,745.86,3.75,0.01
437,North,2019-03-13,27.58,827.82,5.65,0.29
438,North,2019-03-14,29.46,881.34,6.91,0.11
439,North,2019-03-15,28.86,749.82,4.56,0.2
440,North,2019-03-16,28.69,755.42,6.58,0.26
441,North,2019-03-17,30.41,882.03,9.37,0.23
442,North,2019-03-18,30.74,641.44,8.02,0.13
443,North,2019-03-19,28.2,761.15,8.92,0.1
444,North,2019-03-20,28.15,808.59,7.01,0.09
445,North,2019-03-21,28.79,830.33,8.14,0.2
446,North,2019-03-22,24.76,754.56,5.27,0.14
447,North,2019-03-23,26.37,798.96,5.35,0.38
448,North,2019-03-24,32.16,597.91,2.17,0.42
449,North,2019-03-25,32.74,745.01,8.03,0.04
450,North,2019-03-26,28.97,834.55,8.53,0.15
451,North,2019-03-27,30.64,720.19,5.35,0.2
452,North,2019-03-28,30.12,803.92,5.77,0.07
453,North,2019-03-29,35.67,835.28,4.98,0.0
454,North,2019-03-30,31.76,772.37,6.65,2.2
455,North,2019-03-31,29.27,813.57,7.73,0.05
456,North,2019-04-01,27.61,722.98,3.39,0.53
457,North,2019-04-02,26.31,783.45,6.59,1.26
458,North,2019-04-03,29.93,848.68,5.52,0.29
459,North,2019-04-04,28.0,812.22,6.08,0.04
460,North,2019-04-05,26.66,752.45,6.56,0.05
461,North,2019-04-06,28.2,816.93,5.55,0.15
462,North,2019-04-07,27.31,855.7,5.65,0.04
463,North,2019-04-08,32.83,633.98,5.45,0.07
464,North,2019-04-09,31.2,890.06,7.19,0.08
465,North,2019-04-10,29.39,769.7,6.33,0.03
466,North,2019-04-11,32.34,829.82,6.0,0.05
467,North,2019-04-12,29.51,890.66,3.73,0.31
468,North,2019-04-13,27.6,684.15,5.03,0.04
469,North,2019-04-14,32.33,736.05,6.91,0.01
470,North,2019-04-15,30.32,768.55,5.59,0.2
471,North,2019-04-16,27.13,727.68,6.49,0.75
472,North,2019-04-17,28.78,927.84,8.11,0.08
473,North,2019-04-18,27.36,719.07,6.99,0.03
474,North,2019-04-19,26.3,741.66,5.54,0.17
475,North,2019-04-20,30.86,800.86,4.6,0.47
476,North,2019-04-21,32.77,686.66,1.5,0.31
477,North,2019-04-22,26.1,749.41,5.05,0.19
478,North,2019-04-23,29.96,804.61,4.78,0.08
479,North,2019-04-24,27.47,750.66,5.82,0.16
480,North,2019-04-25,27.73,767.8,4.97,0.02
481,North,2019-04-26,27.45,730.83,4.69,0.23
482,North,2019-04-27,26.83,649.85,2.47,0.26
483,North,2019-04-28,28.58,794.48,3.7,0.67
484,North,2019-04-29,26.74,906.81,5.8,0.06
485,North,2019-04-30,28.87,765.48,7.62,0.0
486,North,2019-05-01,28.14,779.53,4.87,0.16
487,North,2019-05-02,27.68,814.36,5.48,0.25
488,North,2019-05-03,26.25,654.75,6.39,0.31
489,North,2019-05-04,26.82,889.78,3.71,0.04
490,North,2019-05-05,29.39,766.96,5.45,0.3
491,North,2019-05-06,28.79,878.45,3.76,0.14
492,North,2019-05-07,25.73,686.32,6.14,0.08
493,North,2019-05-08,27.79,887.39,5.04,0.39
494,North,2019-05-09,28.99,800.87,5.24,0.13
495,North,2019-05-10,24.04,779.94,3.59,0.32
496,North,2019-05-11,28.36,751.19,5.8,0.17
497,North,2019-05-12,25.84,709.28,7.84,0.3
498,North,2019-05-13,28.19,821.84,3.17,0.08
499,North,2019-05-14,25.41,733.6,4.15,0.36
500,North,2019-05-15,23.21,561.5,4.98,0.06
501,North,2019-05-16,23.45,625.93,5.79,0.16
502,North,2019-05-17,26.68,696.81,3.74,0.05
503,North,2019-05-18,26.98,732.78,0.31,0.13
504,North,2019-05-19,24.52,699.7,6.57,0.08
505,North,2019-05-20,27.48,797.94,5.65,0.31
506,North,2019-05-21,22.75,540.46,1.87,0.68
507,North,2019-05-22,25.81,704.1,3.56,0.17
508,North,2019-05-23,23.39,543.19,6.8,0.31
509,North,2019-05-24,24.37,745.36,6.6,0.83
510,North,2019-05-25,25.64,672.93,5.81,0.0
511,North,2019-05-26,23.68,709.9,4.12,0.24
512,North,2019-05-27,24.49,603.02,4.49,0.06
513,North,2019-05-28,27.13,770.23,4.15,0.01
514,North,2019-05-29,23.82,746.91,6.02,0.1
